PlotID;Longitude;Latitude;Poèet_druhù;X;XX;XXX
307751;16.935303;48.691028;15;6;6;3
372617;16.918056;48.716389;64;42;20;2
372309;16.648889;48.806667;30;18;8;4
316100;17.084028;48.808444;35;25;8;2
393396;16.150236;48.814475;29;18;10;1
317334;17.394167;48.834444;61;33;25;3
384933;17.565972;48.86625;101;59;38;4
317276;17.443056;48.868056;48;30;10;8
317277;17.443333;48.868056;48;40;4;4
327591;17.510833;48.877778;43;30;10;3
310546;17.580833;48.896111;42;30;7;5
374591;17.488889;48.9125;32;17;12;3
316081;17.334361;48.923944;18;7;8;3
319435;16.923667;49.156306;52;36;14;2
